id,certificate
1,0
6,1
7,0
8,0
13,0
19,0
21,0
25,2
26,0
32,0
33,0
35,0
38,0
39,0
52,0
60,2
61,0
63,0
64,0
65,0
75,1
79,1
85,0
86,0
90,0
91,1
94,0
101,1
105,0
116,0
118,1
127,0
128,1
133,0
135,0
141,1
142,1
146,0
148,0
149,0
151,0
153,3
156,2
161,1
162,1
163,1
165,1
173,0
174,0
181,3
183,0
188,0
190,0
191,0
195,1
199,0
201,2
204,0
205,0
208,0
217,0
219,0
221,0
226,0
229,1
235,0
237,0
239,0
241,0
242,0
243,0
248,0
249,2
250,1
253,1
256,0
258,1
264,1
270,0
272,1
273,0
278,0
283,0
289,2
290,1
291,0
296,1
298,1
302,1
303,3
305,1
307,0
309,0
313,0
316,1
323,0
324,0
325,1
329,0
332,0
336,0
348,0
349,0
351,0
352,0
355,0
356,1
